iter	Passed	Remaining
0	133	26505
1	137	13567
2	141	9271
3	145	7130
4	150	5860
5	154	5007
6	159	4393
7	164	3941
8	168	3571
9	172	3279
10	177	3058
11	182	2860
12	187	2692
13	191	2546
14	196	2426
15	201	2314
16	205	2215
17	212	2147
18	217	2068
19	221	1993
20	226	1931
21	230	1867
22	235	1809
23	239	1759
24	244	1714
25	249	1671
26	254	1631
27	259	1596
28	263	1556
29	268	1519
30	273	1488
31	278	1463
32	283	1436
33	288	1409
34	294	1387
35	300	1366
36	306	1349
37	312	1330
38	319	1320
39	327	1310
40	335	1300
41	342	1289
42	348	1274
43	355	1262
44	363	1250
45	369	1237
46	377	1229
47	387	1228
48	397	1226
49	406	1218
50	412	1205
51	420	1195
52	426	1183
53	433	1171
54	440	1162
55	447	1151
56	456	1145
57	463	1134
58	471	1126
59	477	1114
60	484	1102
61	490	1091
62	497	1081
63	505	1073
64	511	1062
65	519	1055
66	527	1046
67	534	1038
68	541	1028
69	548	1018
70	555	1009
71	562	999
72	570	992
73	577	983
74	587	978
75	593	968
76	601	960
77	608	951
78	615	943
79	622	933
80	629	924
81	635	914
82	641	904
83	648	895
84	654	886
85	661	877
86	668	868
87	674	858
88	682	851
89	689	842
90	696	834
91	703	825
92	709	816
93	716	807
94	724	800
95	731	792
96	738	784
97	745	776
98	752	767
99	759	759
100	766	751
101	775	745
102	782	736
103	788	728
104	796	720
105	803	712
106	811	704
107	817	696
108	824	688
109	832	680
110	839	673
111	846	664
112	853	656
113	860	649
114	866	640
115	873	632
116	880	624
117	888	617
118	895	609
119	901	601
120	908	593
121	916	586
122	923	578
123	930	570
124	938	563
125	945	555
126	952	547
127	961	540
128	973	535
129	987	531
130	996	524
131	1004	517
132	1021	514
133	1028	506
134	1036	499
135	1042	490
136	1052	483
137	1058	475
138	1065	467
139	1072	459
140	1078	451
141	1084	442
142	1090	434
143	1096	426
144	1103	418
145	1109	410
146	1117	402
147	1123	394
148	1131	387
149	1137	379
150	1144	371
151	1150	363
152	1158	355
153	1165	348
154	1172	340
155	1180	332
156	1189	325
157	1196	318
158	1203	310
159	1208	302
160	1215	294
161	1221	286
162	1228	278
163	1235	271
164	1241	263
165	1249	255
166	1255	248
167	1263	240
168	1269	232
169	1276	225
170	1282	217
171	1289	209
172	1297	202
173	1304	194
174	1310	187
175	1315	179
176	1321	171
177	1327	164
178	1333	156
179	1339	148
180	1346	141
181	1353	133
182	1360	126
183	1365	118
184	1371	111
185	1378	103
186	1383	96
187	1389	88
188	1395	81
189	1400	73
190	1407	66
191	1413	58
192	1419	51
193	1425	44
194	1430	36
195	1435	29
196	1443	21
197	1450	14
198	1456	7
199	1462	0
